Event.ID,lon,lat,ID
156,117.211102,NA,BA055
157,119.8644427,-6.860599087,BA055
158,120.0548799,0.715030725,BA055
159,120.7560365,-17.15306078,BA055
160,120.4467494,-21.1771636,BA055
161,120.5023327,-20.87818447,BA055
162,120.6498403,-17.68542983,BA055
163,119.8702705,-2.775604676,BA055
164,119.8140435,-3.717772568,BA055
165,119.7851496,-2.912872583,BA055
166,119.0605437,-14.06677215,BA055
167,118.0778114,2.122593546,BA055
168,117.9164016,-0.794037864,BA055
169,118.8034267,-13.06520441,BA055
170,117.979981,-21.21352445,BA055
171,118.1633083,-22.17281564,BA055
172,118.4074177,-19.27958016,BA055
173,117.0869261,-4.72319897,BA055
174,117.231707,-2.795184573,BA055
175,118.1770006,-12.72778434,BA055
176,118.4621299,-9.544202861,BA055
177,118.3308676,-7.932360749,BA055
178,118.0291545,-10.48977918,BA055
179,117.9778758,-9.699538217,BA055
180,118.3375359,-6.163836773,BA055
181,118.1308192,-4.080271724,BA055
182,118.3934047,-1.548819512,BA055
183,118.9606394,-6.424707972,BA055
184,123.0227633,32.60854839,BA055
185,122.888704,32.72862592,BA055
186,118.5939477,-6.646324781,BA055
187,118.5129504,-5.851752973,BA055
188,117.6406734,-11.88500834,BA055
189,114.8768826,9.262604188,BA055
190,115.5329925,14.37124452,BA055
191,118.4837514,-8.008159377,BA055
192,118.4783147,-7.855405864,BA055
193,115.6416842,12.40924355,BA055
194,115.4852513,10.97201464,BA055
195,117.6880763,-4.321847658,BA055
196,118.8871706,3.606534119,BA055
197,118.8595516,3.723745601,BA055
198,117.6115443,-4.153459016,BA055
199,117.8205841,-5.290552693,BA055
200,118.2240525,-2.831216003,BA055
201,117.8696754,-0.69813981,BA055
202,117.9056051,-0.464231311,BA055
203,118.5922339,-4.277010651,BA055
204,118.8274071,-2.912845588,BA055
205,118.9194398,-3.341998266,BA055
206,119.1726169,-1.934013398,BA055
207,118.6221803,1.021605115,BA055
208,117.4578214,-4.958786279,BA055
209,116.7462663,-1.305817685,BA055
210,117.6897984,3.520283683,BA055
211,118.7381846,-1.754769457,BA055
212,118.9893278,-0.496772286,BA055
213,118.0785606,3.951200151,BA055
214,118.9437254,8.120206306,BA055
215,119.063712,7.430775548,BA055
216,117.934379,2.017329557,BA055
217,117.3683321,4.613411549,BA055
218,117.2489548,4.014950601,BA055
219,119.4533938,-5.680103233,BA055
220,124.0754484,14.74130941,BA055
221,123.2583395,18.11103096,BA055
222,120.0273338,3.86613997,BA055
223,119.3222632,6.843820772,BA055
224,120.3785272,11.24868566,BA055
225,121.5147487,6.360122784,BA055
226,119.2704412,-2.813342316,BA055
227,119.6499374,-4.244573561,BA055
228,120.0032278,-2.825469315,BA055
229,120.5906431,-5.00738104,BA055
