,X,Twilight,Rise,Deleted,Marker,Inserted,Twilight3,Marker3
71,71,12/08/2016 10:09,FALSE,FALSE,0,FALSE,12/08/2016 10:09,0
72,72,12/08/2016 19:15,TRUE,FALSE,0,FALSE,12/08/2016 19:15,0
73,73,13/08/2016 10:03,FALSE,FALSE,0,FALSE,13/08/2016 10:03,0
74,74,13/08/2016 19:11,TRUE,FALSE,0,FALSE,13/08/2016 19:11,0
75,75,14/08/2016 10:00,FALSE,FALSE,0,FALSE,14/08/2016 10:00,0
76,76,14/08/2016 19:10,TRUE,FALSE,0,FALSE,14/08/2016 19:10,0
77,77,15/08/2016 09:55,FALSE,FALSE,0,FALSE,15/08/2016 09:55,0
78,78,15/08/2016 19:21,TRUE,FALSE,0,FALSE,15/08/2016 19:21,0
79,79,16/08/2016 09:49,FALSE,FALSE,0,FALSE,16/08/2016 09:49,0
80,80,16/08/2016 19:18,TRUE,FALSE,0,FALSE,16/08/2016 19:18,0
81,81,17/08/2016 09:40,FALSE,FALSE,0,FALSE,17/08/2016 09:40,0
82,82,17/08/2016 19:19,TRUE,FALSE,0,FALSE,17/08/2016 19:19,0
83,83,18/08/2016 09:56,FALSE,FALSE,0,FALSE,18/08/2016 09:56,0
84,84,18/08/2016 19:27,TRUE,FALSE,0,FALSE,18/08/2016 19:27,0
85,85,19/08/2016 09:54,FALSE,FALSE,0,FALSE,19/08/2016 09:54,0
86,86,19/08/2016 19:34,TRUE,FALSE,0,FALSE,19/08/2016 19:34,0
87,87,20/08/2016 09:51,FALSE,FALSE,0,FALSE,20/08/2016 09:51,0
88,88,20/08/2016 19:35,TRUE,FALSE,0,FALSE,20/08/2016 19:35,0
89,89,21/08/2016 10:09,FALSE,FALSE,0,FALSE,21/08/2016 10:09,0
90,90,21/08/2016 20:07,TRUE,FALSE,0,FALSE,21/08/2016 20:07,0
91,91,22/08/2016 10:09,FALSE,FALSE,0,FALSE,22/08/2016 10:09,0
92,92,22/08/2016 20:15,TRUE,FALSE,0,FALSE,22/08/2016 20:15,0
93,93,23/08/2016 10:23,FALSE,FALSE,0,FALSE,23/08/2016 10:23,0
94,94,23/08/2016 20:44,TRUE,FALSE,0,FALSE,23/08/2016 20:44,0
95,95,24/08/2016 10:36,FALSE,FALSE,0,FALSE,24/08/2016 10:36,0
96,96,24/08/2016 21:02,TRUE,FALSE,0,FALSE,24/08/2016 21:02,0
97,97,25/08/2016 10:46,FALSE,FALSE,0,FALSE,25/08/2016 10:46,0
98,98,25/08/2016 21:15,TRUE,FALSE,0,FALSE,25/08/2016 21:15,0
99,99,26/08/2016 10:51,FALSE,FALSE,0,FALSE,26/08/2016 10:51,0
100,100,26/08/2016 21:22,TRUE,FALSE,0,FALSE,26/08/2016 21:22,0
101,101,27/08/2016 10:48,FALSE,FALSE,0,FALSE,27/08/2016 10:48,0
102,102,27/08/2016 21:40,TRUE,FALSE,0,FALSE,27/08/2016 21:40,0
103,103,28/08/2016 10:46,FALSE,FALSE,0,FALSE,28/08/2016 10:46,0
104,104,28/08/2016 21:42,TRUE,FALSE,0,FALSE,28/08/2016 21:42,0
105,105,29/08/2016 10:49,FALSE,FALSE,0,FALSE,29/08/2016 10:49,0
106,106,29/08/2016 21:47,TRUE,FALSE,0,FALSE,29/08/2016 21:47,0
107,107,30/08/2016 10:56,FALSE,FALSE,0,FALSE,30/08/2016 10:56,0
108,108,30/08/2016 21:38,TRUE,FALSE,0,FALSE,30/08/2016 21:38,0
109,109,31/08/2016 10:57,FALSE,FALSE,0,FALSE,31/08/2016 10:57,0
110,110,31/08/2016 21:45,TRUE,FALSE,0,FALSE,31/08/2016 21:45,0
111,111,01/09/2016 10:53,FALSE,FALSE,0,FALSE,01/09/2016 10:53,0
112,112,01/09/2016 21:44,TRUE,FALSE,0,FALSE,01/09/2016 21:44,0
113,113,02/09/2016 10:41,FALSE,FALSE,0,FALSE,02/09/2016 10:41,0
114,114,02/09/2016 21:43,TRUE,FALSE,0,FALSE,02/09/2016 21:43,0
115,115,03/09/2016 10:39,FALSE,FALSE,0,FALSE,03/09/2016 10:39,0
116,116,03/09/2016 21:42,TRUE,FALSE,0,FALSE,03/09/2016 21:42,0
117,117,04/09/2016 10:57,FALSE,FALSE,0,FALSE,04/09/2016 10:57,0
118,118,04/09/2016 21:50,TRUE,FALSE,0,FALSE,04/09/2016 21:50,0
119,119,05/09/2016 10:45,FALSE,FALSE,0,FALSE,05/09/2016 10:45,0
120,120,05/09/2016 22:00,TRUE,FALSE,0,FALSE,05/09/2016 22:00,0
121,121,06/09/2016 11:02,FALSE,FALSE,0,FALSE,06/09/2016 11:02,0
122,122,06/09/2016 22:06,TRUE,FALSE,0,FALSE,06/09/2016 22:06,0
123,123,07/09/2016 11:03,FALSE,FALSE,0,FALSE,07/09/2016 11:03,0
124,124,07/09/2016 22:06,TRUE,FALSE,0,FALSE,07/09/2016 22:06,0
125,125,08/09/2016 11:02,FALSE,FALSE,0,FALSE,08/09/2016 11:02,0
126,126,08/09/2016 22:00,TRUE,FALSE,0,FALSE,08/09/2016 22:00,0
127,127,09/09/2016 11:01,FALSE,FALSE,0,FALSE,09/09/2016 11:01,0
128,128,09/09/2016 22:04,TRUE,FALSE,0,FALSE,09/09/2016 22:04,0
129,129,10/09/2016 11:01,FALSE,FALSE,0,FALSE,10/09/2016 11:01,0
130,130,10/09/2016 21:55,TRUE,FALSE,0,FALSE,10/09/2016 21:55,0
131,131,11/09/2016 11:03,FALSE,FALSE,0,FALSE,11/09/2016 11:03,0
132,132,11/09/2016 22:03,TRUE,FALSE,0,FALSE,11/09/2016 22:03,0
133,133,12/09/2016 11:10,FALSE,FALSE,0,FALSE,12/09/2016 11:10,0
134,134,12/09/2016 22:10,TRUE,FALSE,0,FALSE,12/09/2016 22:10,0
135,135,13/09/2016 11:11,FALSE,FALSE,0,FALSE,13/09/2016 11:11,0
136,136,13/09/2016 22:10,TRUE,FALSE,0,FALSE,13/09/2016 22:10,0
137,137,14/09/2016 11:07,FALSE,FALSE,0,FALSE,14/09/2016 11:07,0
138,138,14/09/2016 22:12,TRUE,FALSE,0,FALSE,14/09/2016 22:12,0
139,139,15/09/2016 10:54,FALSE,FALSE,0,FALSE,15/09/2016 10:54,0
140,140,15/09/2016 21:58,TRUE,FALSE,0,FALSE,15/09/2016 21:58,0
141,141,16/09/2016 10:36,FALSE,FALSE,0,FALSE,16/09/2016 10:36,0
142,142,16/09/2016 22:08,TRUE,FALSE,0,FALSE,16/09/2016 22:08,0
143,143,17/09/2016 10:40,FALSE,FALSE,0,FALSE,17/09/2016 10:40,0
144,144,17/09/2016 21:44,TRUE,FALSE,0,FALSE,17/09/2016 21:44,0
145,145,18/09/2016 10:38,FALSE,FALSE,0,FALSE,18/09/2016 10:38,0
146,146,18/09/2016 21:39,TRUE,FALSE,0,FALSE,18/09/2016 21:39,0
147,147,19/09/2016 10:19,FALSE,FALSE,0,FALSE,19/09/2016 10:19,0
148,148,19/09/2016 21:37,TRUE,FALSE,0,FALSE,19/09/2016 21:37,0
149,149,20/09/2016 10:24,FALSE,FALSE,0,FALSE,20/09/2016 10:24,0
150,150,20/09/2016 21:39,TRUE,FALSE,0,FALSE,20/09/2016 21:39,0
151,151,21/09/2016 10:19,FALSE,FALSE,0,FALSE,21/09/2016 10:19,0
152,152,21/09/2016 21:35,TRUE,FALSE,0,FALSE,21/09/2016 21:35,0
